순위,영화명,개봉일,일일 관객수,누적 관객수,기준 날짜
1위,공조2: 인터내셔날,2022-09-07,"27,528명","6,274,104명",2022-10-05
1위,공조2: 인터내셔날,2022-09-07,"28,024명","6,302,128명",2022-10-06
1위,공조2: 인터내셔날,2022-09-07,"43,166명","6,345,294명",2022-10-07
1위,공조2: 인터내셔날,2022-09-07,"73,681명","6,418,975명",2022-10-08
1위,공조2: 인터내셔날,2022-09-07,"106,796명","6,525,771명",2022-10-09
