순위,영화명,개봉일,일일 관객수,누적 관객수,기준 날짜
4위,극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교,2022-09-28,"9,717명","241,146명",2022-10-04
4위,극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교,2022-09-28,"9,949명","251,095명",2022-10-05
4위,극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교,2022-09-28,"9,962명","261,057명",2022-10-06
4위,극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교,2022-09-28,"16,723명","277,780명",2022-10-07
3위,극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교,2022-09-28,"49,650명","327,430명",2022-10-08
