순위,영화명,개봉일,일일 관객수,누적 관객수,기준 날짜
3위,인생은 아름다워,2022-09-28,"25,258명","363,310명",2022-10-04
2위,인생은 아름다워,2022-09-28,"24,760명","388,070명",2022-10-05
2위,인생은 아름다워,2022-09-28,"24,418명","412,488명",2022-10-06
2위,인생은 아름다워,2022-09-28,"32,495명","444,983명",2022-10-07
2위,인생은 아름다워,2022-09-28,"54,635명","499,618명",2022-10-08
